"Показник","Територіальний розріз","Кількість працівників","Вид економічної діяльності","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Конфіденційність","Примітки часового ряду","Примітки спостереження","2018","2019","2020","2021","2022","2023","2024","2025"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","37.7","37.6","","38.8","","","44.1","44.7"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Переробна промисловість","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","43.7","43.2","","44.1","","","46.7","48.2"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво комп'ютерів, електронної та оптичної продукції","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","70.3","67.9","","68.6","","","71.0","64.3"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","55.0","55.7","","54.3","","","57.4","60.1"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Видавнича діяльність, радіомовлення, телебачення","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","58.8","58.3","","60.1","","","60.3","63.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Діяльність у сферах права та бухгалтерського обліку, архітектури та інжинірингу, технічні випробування та дослідження","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","43.3","41.4","","41.1","","","45.4","44.6"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Діяльність туристичних агентств, туристичних операторів, надання інших послуг із бронювання та пов'язана з цим діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","66.5","66.3","","64.3","","","66.7","86.8"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","48.5","48.4","","50.3","","","50.5","51.5"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виготовлення виробів з деревини, паперу та  поліграфічна діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","37.9","36.6","","37.0","","","38.4","43.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Інформація та телекомунікації","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","57.4","57.1","","57.1","","","57.3","56.1"
