"Показник","Територіальний розріз","Категорія розрізу","Розріз","Кількість працівників","Вид економічної діяльності","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Конфіденційність","Примітки часового ряду","Примітки спостереження","2018","2019","2020","2021","2022","2023","2024"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Діяльність туристичних агентств, туристичних операторів, надання інших послуг із бронювання та пов'язана з цим діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","3.6","1.7","2.0","2.7","5.9"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","3.8","3.9","3.4","4.2","0.1"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Діяльність у сферах права та бухгалтерського обліку, архітектури та інжинірингу, технічні випробування та дослідження","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.7","","0.7","2.8","2.2"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.9","","5.8","2.8","0.9"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Тимчасове розміщування","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","2.7","1.2","1.6","3.7","1.6"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","1.8","0.2","0.3","2.3","2.6"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Виробництво машин і устатковання, н.в.і.у.","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","2.7","","0.6","0.6","0.6"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Виготовлення виробів з деревини, паперу та  поліграфічна діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","2.1","1.3","2.2","2.2","2.5"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Переробна промисловість","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","4.8","2.9","3.3","4.1","3.1"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Виробництво хімічних речовин і хімічної продукції","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","10.6","8.5","4.5","6.1","5.4"
