"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
12047,"xHH6_IDI","Households with Internet access at home",,"%",4,"ABW","Aruba","36.7",2006,"","Central Bureau of Statistics.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",4,"ABW","Aruba","63",2010,"Census.","Central Bureau of Statistics.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",4,"ABW","Aruba","66.2",2011,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",4,"ABW","Aruba","69.5907",2012,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",4,"ABW","Aruba","76.56",2016,"","ITU Estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",4,"ABW","Aruba","68.8413",2017,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","0.05",2002,"","","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","0.3",2003,"","","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","0.55",2004,"","","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","0.75",2005,"","","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","0.9",2006,"","","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","1.1",2007,"","","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","1.15",2008,"","","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","1.33",2009,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","1.53",2010,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","1.70598",2011,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","1.88061",2012,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","2.1",2013,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","3",2014,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
12047,"xHH6_IDI","Households with Internet access at home",,"%",6,"AFG","Afghanistan","3.9",2015,"","ITU estimate.","Refers to the proportion of households with Internet access at home. Access can be via a fixed or mobile network. If one member of the household has a mobile phone with connection to the Internet and makes it available for all members, then it should be considered that the household has access to the Internet."
